dish,region,ingredients,calories,protein_g,carbs_g,fat_g,calcium_mg,magnesium_mg,sodium_mg,allergens
Til Chutney with Rice,Himachal,"sesame seeds, rice, spices",350,8,60,10,120,70,250,sesame
Kaale Chane ka Khatta,Himachal,"black chickpeas, tangy spices, rice",400,15,65,8,80,75,380,none
Patande,Himachal,"wheat flour pancake, jaggery",300,6,50,8,30,40,100,gluten
Sepu Vadi,Himachal,"lentil dumplings, curd gravy, rice",420,16,55,14,140,65,420,dairy
Mash Daal with Rice,Himachal,"black gram, rice, ghee",400,16,60,10,70,80,300,dairy
Bhey Lotus Stem Curry with Roti,Himachal,"lotus stem, spices, wheat roti",350,8,50,10,60,55,350,gluten
Chha Gosht with Rice,Himachal,"mutton, yogurt, spices, rice",550,30,45,25,100,60,500,dairy
Aktori,Himachal,"buckwheat flour, jaggery",300,7,50,8,40,60,120,none
Kullu Trout Curry with Rice,Himachal,"fish, spices, rice",450,28,45,15,80,50,450,fish
Bisi Bele Bath,Karnataka,"rice, toor dal, vegetables, tamarind, spices",420,13,65,10,70,60,400,none
Ragi Mudde with Sambar,Karnataka,"finger millet, toor dal",380,12,60,6,200,90,350,none
Neer Dosa with Chutney,Karnataka,"rice batter, coconut",300,6,55,8,40,40,250,none
Akki Roti,Karnataka,"rice flour, vegetables",320,7,55,8,50,45,300,none
Mangalore Buns with Chutney,Karnataka,"banana, wheat flour, fried",350,6,55,12,30,35,200,gluten
Kesari Bath,Karnataka,"semolina, sugar, ghee",350,5,60,12,30,30,100,"dairy,gluten"
Vangi Bath Karnataka Style,Karnataka,"brinjal, rice, spices",400,8,65,10,45,50,380,none
Kori Gassi with Rice,Karnataka,"chicken, coconut, spices, rice",500,28,50,20,60,50,500,none
Maddur Vada with Coconut Chutney,Karnataka,"rice flour, semolina, onion, fried",320,6,45,14,30,35,350,none
Huli with Rice,Karnataka,"toor dal, vegetables, tamarind, rice",400,12,65,8,60,55,380,none
Chitranna Lemon Rice,Karnataka,"rice, peanuts, mustard seeds, turmeric",350,7,55,12,30,40,300,peanuts
Obbattu Holige,Karnataka,"lentils, jaggery, wheat flour",320,6,60,8,30,35,80,gluten
